review,date,product,url,stars,brand,model
"Ótimo aparelho preço nem tanto para um aparelho sem garantia nacional.
Falta ter garantia mundial ai sim a xiaomi vai dominar o mundo lembrado de não abusar dos preços ta.
Ex: comprei dois red 6 com 6 meses um deu defeito não teve conserto olha ai, porem o outro ja tem 2 anos e esta bom ainda.
Bom ja que não tem garantia no próximo vou testa um outro smartphone chines para ver.",03 Jun. 2022,xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram,https://www.mercadolivre.com.br/xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram/p/MLB18027052?pdp_filters=official_store:1553#reviews ,5,xiaomi,note 10s
"Compraria de novo, vale muito apena, a versão que indiana, porem nada que prejudica, tudo igualzinho a versão global, só o carregador que não dá nas tomadas brasileiras, porem um adaptador é baratinho e resolve o problema, a câmera principal é ótima, a frontal nem tanto, mais pelo preço tá ótimo. Podem comprar sem medo.",19 Mar. 2022,xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram,https://www.mercadolivre.com.br/xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram/p/MLB18027052?pdp_filters=official_store:1553#reviews ,5,xiaomi,note 10s
"Excelente produto.
Porém. Decpcionada com o carregador.
Modelo antigo que não se adapta nas tomadas atuais.",12 Jul. 2023,xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram,https://www.mercadolivre.com.br/xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram/p/MLB18027052?pdp_filters=official_store:1553#reviews ,5,xiaomi,note 10s
Produto eselente.,17 May 2023,xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram,https://www.mercadolivre.com.br/xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram/p/MLB18027052?pdp_filters=official_store:1553#reviews ,5,xiaomi,note 10s
"O custo benefício do celular é bom. O ruim é a bateria que não dura nada, mesmo desativando tudo o que possa interferir nesse processo. Poderiam melhorar o tempo de duração da bateria.",08 Mar. 2023,xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram,https://www.mercadolivre.com.br/xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram/p/MLB18027052?pdp_filters=official_store:1553#reviews ,3,xiaomi,note 10s
Celular muito top!! não vão se arrepender na compra!!.,07 Mar. 2023,xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram,https://www.mercadolivre.com.br/xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram/p/MLB18027052?pdp_filters=official_store:1553#reviews ,5,xiaomi,note 10s
"Com 3 meses o celular deu defeito, e ninguém responde as minhas perguntas.",25 Feb. 2023,xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram,https://www.mercadolivre.com.br/xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram/p/MLB18027052?pdp_filters=official_store:1553#reviews ,1,xiaomi,note 10s
Celular e maravilhoso mais deu uma desligada e demorou pra liga em uso.,09 Aug. 2022,xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram,https://www.mercadolivre.com.br/xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram/p/MLB18027052?pdp_filters=official_store:1553#reviews ,2,xiaomi,note 10s
"Sinceramente não gostei,.
O meu só vive travando, não roda o aplicativo de música sem travar no meio da música,.
Sair do motorola pra usar o xiaomi e odiei à experiência.",06 Aug. 2022,xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram,https://www.mercadolivre.com.br/xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram/p/MLB18027052?pdp_filters=official_store:1553#reviews ,2,xiaomi,note 10s
"Ótimo, já compro no mercado livre há um tempo e sempre são ótimos produtos.",24 May 2022,xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram,https://www.mercadolivre.com.br/xiaomi-redmi-note-10s-dual-sim-128-gb-onyx-gray-6-gb-ram/p/MLB18027052?pdp_filters=official_store:1553#reviews ,5,xiaomi,note 10s
